country,n_airports,month,total_n_seats,From source with cases > 0,From source with cases > 100,From source with cases > 1000
Angola,2,2020-01,108590,2357,0,0
Angola,2,2020-02,93919,16179,0,0
Angola,2,2020-03,67884,53807,23086,8787
Angola,2,2020-04,4843,4843,2908,1998
Angola,2,TOTAL,275236,77186,25994,10785
Burundi,1,2020-01,18418,0,0,0
Burundi,1,2020-02,18711,885,0,0
Burundi,1,2020-03,16780,9197,809,257
Burundi,1,2020-04,2834,2834,1542,0
Burundi,1,TOTAL,56743,12916,2351,257
Benin,1,2020-01,47149,1120,0,0
Benin,1,2020-02,43661,3792,224,0
Benin,1,2020-03,38531,23463,4942,3063
Benin,1,2020-04,16779,16779,9475,2603
Benin,1,TOTAL,146120,45154,14641,5666
Burkina Faso,2,2020-01,53094,672,0,0
Burkina Faso,2,2020-02,48087,6324,224,0
Burkina Faso,2,2020-03,41857,25327,9083,5182
Burkina Faso,2,2020-04,17233,17233,13505,1421
Burkina Faso,2,TOTAL,160271,49556,22812,6603
Botswana,4,2020-01,39570,0,0,0
Botswana,4,2020-02,36234,0,0,0
Botswana,4,2020-03,37057,29826,12787,3183
Botswana,4,2020-04,16522,16522,16522,16522
Botswana,4,TOTAL,129383,46348,29309,19705
CAR,2,2020-01,12721,872,0,0
CAR,2,2020-02,11112,2400,0,0
CAR,2,2020-03,10697,7983,2056,1464
CAR,2,2020-04,714,714,522,168
CAR,2,TOTAL,35244,11969,2578,1632
Cote d Ivoire,1,2020-01,129127,6582,0,0
Cote d Ivoire,1,2020-02,115216,25983,575,0
Cote d Ivoire,1,2020-03,98162,65464,25637,15732
Cote d Ivoire,1,2020-04,14532,14532,10141,112
Cote d Ivoire,1,TOTAL,357037,112561,36353,15844
Cameroon,2,2020-01,91727,2464,0,0
Cameroon,2,2020-02,79972,17480,504,0
Cameroon,2,2020-03,63607,40985,15717,9260
Cameroon,2,2020-04,6497,6497,2261,621
Cameroon,2,TOTAL,241803,67426,18482,9881
