"","countries","prop.at.1yr...2."
"1","Angola",0.157767141163606
"2","Burundi",0.452445383523355
"3","Benin",0.132377321525073
"4","Burkina Faso",0.170588323356522
"5","Botswana",0.128779868416372
"6","Central African Republic",0.160065990624711
"7","Côte d'Ivoire",0.240309620775978
"8","Cameroon",0.0927852504397778
"9","Democratic Republic of the Congo",0.104745703365205
"10","Republic of Congo",0.198322103279107
"11","Comoros",NA
"12","Cape Verde",NA
"13","Djibouti",0.548850678413809
"14","Eritrea",0.058568341262919
"15","Ethiopia",0.0427451635890508
"16","Gabon",0.424084404031072
"17","Ghana",0.289348529588525
"18","Guinea",0.153592239025385
"19","Gambia",0.419853444700713
"20","Guinea-Bissau",0.295399641498291
"21","Equatorial Guinea",0.10263826160017
"22","Kenya",0.429402985521022
"23","Liberia",0.336300654538997
"24","Lesotho",NA
"25","Madagascar",0.123795072940507
"26","Mali",0.125156973707375
"27","Mozambique",0.125108132747399
"28","Mauritania",0.209212878448204
"29","Mauritius",NA
"30","Malawi",0.438705867170583
"31","Mayotte",NA
"32","Namibia",0.133058249169702
"33","Niger",0.0768747429891259
"34","Nigeria",0.35902438819
"35","Reunion",0.370537590226328
"36","Rwanda",0.0487613752555727
"37","Sudan",0.0448686321785251
"38","Senegal",0.133477638407206
"39","Sierra Leone",0.102594531830242
"40","Somalia",0.131379122916065
"41","South Sudan",0.0439715123249205
"42","São Tomé and Príncipe",0.455906557404421
"43","Swaziland",0.405489645764886
"44","Seychelles",NA
"45","Chad",0.08246166952476
"46","Togo",0.252286644040549
"47","Tanzania",0.0495657100218887
"48","Uganda",0.157328165807435
"49","South Africa",0.10082463441281
"50","Zambia",0.165291435667292
"51","Zimbabwe",0.248028896707869
