Country Name,Country Code,GINI Value Used,GINI Year Used,GDP Per Capita,GDP Year Used
Angola,AGO,51.3,2018,2973.59116,2019
Burundi,BDI,38.6,2013,261.2474725,2019
Benin,BEN,47.8,2015,1219.432672,2019
Burkina Faso,BFA,35.3,2014,774.8396902,2019
Botswana,BWA,53.3,2015,7961.33814,2019
Central African Republic,CAF,56.2,2008,467.9074406,2019
Cote d'Ivoire,CIV,41.5,2015,2286.162777,2019
Cameroon,CMR,46.6,2014,1497.909176,2019
"Congo, Dem. Rep.",COD,42.1,2012,545.2162123,2019
"Congo, Rep.",COG,48.9,2011,2011.072399,2019
Comoros,COM,45.3,2014,1393.522372,2019
Cabo Verde,CPV,42.4,2015,3603.781794,2019
Djibouti,DJI,41.6,2017,3408.846254,2019
Eritrea,ERI,,Not Available,642.5076591,2011
Ethiopia,ETH,35,2015,857.501351,2019
Gabon,GAB,38,2017,7667.366861,2019
Ghana,GHA,43.5,2016,2202.115567,2019
Guinea,GIN,33.7,2012,1064.131237,2019
"Gambia, The",GMB,35.9,2015,751.2946884,2019
Guinea-Bissau,GNB,50.7,2010,697.7844029,2019
Equatorial Guinea,GNQ,,Not Available,8131.923888,2019
Kenya,KEN,40.8,2015,1816.546916,2019
Liberia,LBR,35.3,2016,621.8929536,2019
Lesotho,LSO,44.9,2017,1157.535164,2019
Madagascar,MDG,42.6,2012,522.2198092,2019
Mali,MLI,33,2009,890.7372855,2019
Mozambique,MOZ,54,2014,491.8047231,2019
Mauritania,MRT,32.6,2014,1677.919253,2019
Mauritius,MUS,36.8,2017,11203.54058,2019
Malawi,MWI,44.7,2016,411.5523404,2019
Namibia,NAM,59.1,2015,4957.458006,2019
Niger,NER,34.3,2014,554.6009687,2019
Nigeria,NGA,43,2009,2229.858696,2019
Rwanda,RWA,43.7,2016,801.656187,2019
Senegal,SEN,40.3,2011,1446.830965,2019
Sierra Leone,SLE,35.7,2018,504.4625434,2019
Somalia,SOM,,Not Available,126.9249205,1990
South Sudan,SSD,46.3,2009,1119.651333,2015
Sao Tome and Principe,STP,56.3,2017,1994.906467,2019
Eswatini,SWZ,54.6,2016,3837.026994,2019
Seychelles,SYC,46.8,2013,17401.72151,2019
Chad,TCD,43.3,2011,709.5403101,2019
Togo,TGO,43.1,2015,675.5422133,2019
Tanzania,TZA,40.5,2017,1122.12181,2019
Uganda,UGA,42.8,2016,776.7685759,2019
South Africa,ZAF,63,2014,6001.400814,2019
Zambia,ZMB,57.1,2015,1291.343357,2019
Zimbabwe,ZWE,44.3,2017,1463.98591,2019
