"","countries","prop.at.1yr...2."
"1","Angola",0.186105588870741
"2","Burundi",0.453574986885336
"3","Benin",0.131772348534206
"4","Burkina Faso",0.171448426591368
"5","Botswana",0.13729582237583
"6","Central African Republic",0.157060629101492
"7","Côte d'Ivoire",0.213116515715865
"8","Cameroon",0.105339708806621
"9","Democratic Republic of the Congo",0.10620327067773
"10","Republic of Congo",0.189459673623865
"11","Comoros",NA
"12","Cape Verde",NA
"13","Djibouti",0.554206232449475
"14","Eritrea",0.0612899946549041
"15","Ethiopia",0.042369273656685
"16","Gabon",0.422740297369611
"17","Ghana",0.277263014558423
"18","Guinea",0.162576375312675
"19","Gambia",0.412981787265824
"20","Guinea-Bissau",0.308253036334146
"21","Equatorial Guinea",0.104156308134795
"22","Kenya",0.418258925331914
"23","Liberia",0.314498581088701
"24","Lesotho",NA
"25","Madagascar",0.123795072940507
"26","Mali",0.117091023192734
"27","Mozambique",0.118543186116786
"28","Mauritania",0.210548932421586
"29","Mauritius",NA
"30","Malawi",0.447563268749317
"31","Mayotte",NA
"32","Namibia",0.159922185537362
"33","Niger",0.0679253849935765
"34","Nigeria",0.365115094977854
"35","Reunion",0.382362515301295
"36","Rwanda",0.0597993146338734
"37","Sudan",0.0417859500213391
"38","Senegal",0.149214447335145
"39","Sierra Leone",0.102594531830242
"40","Somalia",0.129794364758145
"41","South Sudan",0.0439715123249205
"42","São Tomé and Príncipe",0.455853723007033
"43","Swaziland",0.396555397162477
"44","Seychelles",NA
"45","Chad",0.0731012645002739
"46","Togo",0.241888224076133
"47","Tanzania",0.0493404220741147
"48","Uganda",0.151916001533409
"49","South Africa",0.0977614249730571
"50","Zambia",0.164664796359033
"51","Zimbabwe",0.242413291563201
