,n.per.household,median.age.per.household,prop.over.50.per.household,prop.over.60.per.household,year,n
Angola,4.649698926,21.65785211,0.157902812,0.074690252,2016,16109
Burkina Faso,6.654092942,20.52032283,0.124106127,0.063034582,93,5143
Burkina Faso,6.68765586,19.63798836,0.119421343,0.065776676,99,4812
Burkina Faso,6.679784544,20.58569701,0.136838171,0.073885567,NA,9097
Burkina Faso,5.69155574,20.57116611,0.131935076,0.070003459,2010,14424
Benin,6.199599911,21.14558791,0.147047147,0.088098839,96,4499
Benin,5.2724909,21.77415438,0.136405252,0.081078127,2001,5769
Benin,5.176746045,21.13774986,0.132157626,0.070914681,2006,17511
Benin,5.061072208,21.80733023,0.145247121,0.079983993,2012,17422
Benin,5.275007064,21.35207686,0.140748799,0.076255345,2017,14156
Burundi,4.93485342,20.43578409,0.123396319,0.064070903,2010,8596
Burundi,4.904988421,20.84025039,0.142045154,0.074645273,2016,15977
Congo Democratic Republic,5.434503714,20.85678109,0.124016856,0.061878098,NA,8886
Congo Democratic Republic,5.2803368,20.49460679,0.142313706,0.071210038,2013,18171
Central African Republic,5.053143578,23.80111692,0.156897435,0.07325014,94,5551
Congo,5.354822249,22.19518626,0.110526081,0.057460752,NA,5879
Congo,4.423057084,24.89506491,0.165347433,0.092806098,2011,11632
Cote d'Ivoire,6.534625105,21.24389217,0.104837203,0.049747684,94,5935
Cote d'Ivoire,6.191800189,21.93682225,0.085529881,0.039247566,98,2122
Cote d'Ivoire,5.284637621,23.34131737,0.138908547,0.072095777,2012,9686
Cameroon,5.857546637,22.70449406,0.1394854,0.063161697,91,3538
Cameroon,5.646795827,23.27453694,0.142022027,0.079658074,98,4697
Cameroon,4.968074938,23.81027725,0.149562877,0.080666127,2004,10462
Cameroon,5.109188124,23.68260166,0.161068327,0.091218777,2011,14214
Ethiopia,4.877913587,21.58069789,0.12574409,0.064874183,1992,14072
Ethiopia,4.922381751,21.14180029,0.127993054,0.066492944,1997,13721
Ethiopia,4.654771884,21.81421387,0.135184968,0.073362758,2003,16702
Ethiopia,4.517957958,22.90576577,0.156005944,0.08546121,2008,16650
Gabon,5.221828148,29.14962915,0.232071911,0.146632064,1,6203
