,n.per.household,mean.age.per.household,prop.over.50.per.household,prop.over.60.per.household,year,n
Angola,4.468490566,34.80886792,0.479935169,0.227016089,2015.523585,10899491.84
Burkina Faso,8.25,25.05106285,0.294952777,0.149809083,92.85397412,276125.9647
Burkina Faso,8.172430355,23.75960615,0.276011289,0.152025631,98.69116234,274930.6729
Burkina Faso,8.108224076,25.40095352,0.296738221,0.160223362,NA,146682.9538
Burkina Faso,6.668942577,27.35871849,0.333163783,0.176773441,2010,11684110.76
Benin,6.932323232,27.41818182,0.334123796,0.200180139,96,261131.9218
Benin,6.005048187,29.1906838,0.361139008,0.21465797,2001,4440304.162
Benin,5.622844828,30.00795756,0.383655867,0.205866542,2006,12324705
Benin,5.29138357,30.73656578,0.390749745,0.215176208,2011.917078,13272891.98
Benin,5.816155989,29.02609099,0.369998144,0.200458805,2017.470752,11060162.41
Burundi,4.703827573,31.05611297,0.394171223,0.204664987,2010.085098,5509671.468
Burundi,4.555133767,31.71059291,0.410241399,0.21558343,2016.414136,11364419.06
Congo Democratic Republic,5.783228373,29.48906198,0.365268076,0.182250174,NA,111085.3626
Congo Democratic Republic,5.309993831,30.2942628,0.398825162,0.199561628,2013.206508,13294852.94
Central African Republic,5.391006843,32.71823069,0.425678231,0.198734861,94.44330401,274526.0492
Congo,6.418053454,28.51916288,0.327676668,0.170353887,NA,72251.09459
Congo,4.518761017,36.69201712,0.484341812,0.271851053,2011.160665,8156940.842
Cote d'Ivoire,9.018800358,24.11101164,0.278517814,0.132163163,94,287159.4613
Cote d'Ivoire,8.567919075,24.17919075,0.262275154,0.120351642,98.50722543,91784.77774
Cote d'Ivoire,6.461083997,28.60133573,0.345612172,0.179378292,2011.90804,7974792.788
Cameroon,6.797058824,29.47610294,0.362867166,0.164313298,91,175168.4654
Cameroon,6.669968717,29.41449426,0.347798467,0.195075066,98,260133.2314
Cameroon,5.806248425,31.16603679,0.394237042,0.212630138,2004,8106996.656
Cameroon,5.878345099,30.23033985,0.37587017,0.212868773,2011,12478616.01
Ethiopia,5.219011407,28.51720532,0.336401299,0.17355694,1992,10663314.88
Ethiopia,5.116352825,28.77016848,0.348105588,0.180842357,1997,10253536.04
Ethiopia,4.909242576,30.14155822,0.376686577,0.204421887,2003,12225553.66
Ethiopia,4.613078596,31.7175365,0.403463648,0.22102037,2008,13171858.93
Gabon,5.789741848,37.42442255,0.488974886,0.308953359,1.00951087,135487.6008
Gabon,4.483773258,42.5677196,0.560759271,0.365950932,2012,9525841.255
Ghana,4.344772118,33.53243968,0.465257171,0.249347921,93.03163539,247342.7385
Ghana,4.336661912,34.41940086,0.456970314,0.262275385,98.44935806,292158.5737
Ghana,4.931006494,31.6838474,0.409274849,0.242299279,2003,5029680.479
Ghana,4.449478126,34.50322008,0.44166956,0.24882532,2008,9225040.298
Ghana,4.121376028,36.25,0.480273227,0.267182681,2014,9503381.241
Guinea,7.868878357,23.45813586,0.25958881,0.129911556,99,333506.2149
Guinea,6.748084585,26.07799571,0.304205121,0.154298302,2005,6654185.597
Guinea,7.161119915,24.33901215,0.283029882,0.143563562,2012,7742092.583
Guinea,6.94021999,24.06288857,0.276273114,0.137354007,2018,8574842.789
Kenya,5.055086178,32.62842176,0.426822933,0.240048044,93,391624.7712
Kenya,4.534270048,34.76439342,0.458318314,0.248154901,98,405616.9888
Kenya,4.81245283,32.94509434,0.415722271,0.219081883,NA,104389.731
Kenya,4.495801142,33.95280484,0.439030394,0.236303286,2008.569029,6098958.968
Kenya,4.506832989,33.64794216,0.439356703,0.240587933,2014,25849563.78
Comoros,6.817004049,25.41214575,0.279382429,0.153702564,96,160132.86
Comoros,5.93599615,29.99783446,0.331904804,0.181700956,2012,4258751.773
Liberia,5.659018987,27.6068038,0.335607912,0.149660269,2006.922073,5161349.758
Liberia,5.914927345,27.48467635,0.340131578,0.157969212,2013,7751292.811
Lesotho,5.145959832,31.69967305,0.377016328,0.239062467,2004.080336,8746165.049
Lesotho,5.218763236,31.54341381,0.366191422,0.22456678,2009.13003,9668214.56
Lesotho,4.675748752,33.49594426,0.404235305,0.251902509,2014,9874804.211
Madagascar,5.688229572,29.5520428,0.357378964,0.174586935,92,264755.7219
Madagascar,5.213232196,30.50105352,0.37494497,0.190845671,97,318646.6212
Madagascar,4.736327418,32.92285404,0.404946541,0.205282822,2003.709163,5640663.843
Madagascar,5.009211187,30.88929827,0.391414258,0.19011748,2008.766203,12218136.33
Mali,6.477348066,27.7051105,0.334559081,0.168056584,95.68812155,475570.9687
Mali,5.96275489,30.06835206,0.372269943,0.19116877,2001,9797485.386
Mali,6.275683949,27.65582552,0.332312658,0.170354072,2006,10670576.44
Mali,6.265590609,26.89056004,0.328614748,0.163582058,2012.374908,8370278.093
Mali,6.45251938,24.75666182,0.30099921,0.148550369,2018,8465119.241
Malawi,4.916530278,31.26895799,0.40807133,0.221105379,92,237950.2809
Malawi,4.670866826,31.45155333,0.418428355,0.214232948,2000,9379786.64
Malawi,4.426701571,32.44949825,0.438926775,0.244973948,2004.239529,9364193.501
Malawi,4.758543746,30.66206694,0.404157971,0.238210538,2010,17430741.27
Malawi,4.665865109,30.49948471,0.401877977,0.234641769,2015.290965,17920926.73
Mozambique,4.946913212,33.19102296,0.426890644,0.222757634,97,458648.7707
Mozambique,5.290768265,31.36194264,0.39529511,0.21282102,2003.01256,9751162.971
Mozambique,4.646875649,33.17884575,0.435680731,0.235391987,2011,9877243.057
Nigeria,6.08,30.68675862,0.373571512,0.188464901,90,465191.882
Nigeria,5.565142661,31.40082503,0.374624398,0.194607401,2003,5938825.895
Nigeria,5.117539788,33.46344496,0.414236563,0.232108578,2008,24709814.51
Nigeria,5.022334683,33.70981781,0.418789309,0.227058786,2013,30431061.97
Nigeria,5.002175633,34.11171545,0.426770388,0.237570527,2018,31227548.22
Niger,7.996657116,24.39159503,0.273894854,0.130418955,92,263409.6331
Niger,7.370578085,24.11216566,0.281253069,0.134669259,98,303423.108
Niger,7.208359326,23.55162196,0.287214488,0.138779012,2006,6534424.235
Niger,6.579874517,24.10123069,0.308872801,0.14966063,2012,8470914.663
Namibia,7.603960396,26.24917492,0.307188187,0.177968227,92,270084.5168
Namibia,5.928409091,29.85549242,0.358215245,0.197008989,2000,5378575.292
Namibia,5.656165128,30.70912548,0.373761367,0.198778689,2006.736013,7528489.092
Namibia,5.265375556,32.0891128,0.402936717,0.220065476,2013,7840605.991
