isocode,country_name,location,age_bin,age_lower,age_upper,ifr_perc_est,ifr_perc_lower,ifr_perc_upper,source,Note
FRA,France,France,0 - 19,0,20,0.001,0.001,0.002,Salje,Table S2 of supplement
FRA,France,France,20 - 39,20,29,0.007,0.003,0.01,Salje,Table S2 of supplement
FRA,France,France,30 - 39,30,39,0.002,0.01,0.04,Salje,Table S2 of supplement
FRA,France,France,40 - 49,40,49,0.06,0.03,0.09,Salje,Table S2 of supplement
FRA,France,France,50 -59,50,59,0.2,0.1,0.36,Salje,Table S2 of supplement
FRA,France,France,60 -69,60,69,0.9,0.5,1.4,Salje,Table S2 of supplement
FRA,France,France,70 - 79,70,79,2.4,1.4,3.7,Salje,Table S2 of supplement
FRA,France,France,80 +,80,100,10.1,6,15.6,Salje,Table S2 of supplement
CHN,China,Wuhan,0 - 9,0,9,0.00161,0.000185,0.0249,Verity,Table 1
CHN,China,Wuhan,19-Oct,10,19,0.00695,0.00149,0.0502,Verity,Table 1
CHN,China,Wuhan,20 - 39,20,29,0.0309,0.0138,0.0923,Verity,Table 1
CHN,China,Wuhan,30 - 39,30,39,0.0844,0.0408,0.185,Verity,Table 1
CHN,China,Wuhan,40 - 49,40,49,0.161,0.0764,0.323,Verity,Table 1
CHN,China,Wuhan,50 -59,50,59,0.595,0.344,1.28,Verity,Table 1
CHN,China,Wuhan,60 -69,60,69,1.93,1.11,3.89,Verity,Table 1
CHN,China,Wuhan,70 - 79,70,79,4.28,2.45,8.44,Verity,Table 1
CHN,China,Wuhan,80 +,80,100,7.8,3.8,13.3,Verity,Table 1
ITA,Italy,Lombardy,0 - 19,0,20,0.0406,0.0038,0.1479,Rinaldi,Table 2; shifted bins down to match Verity & Salje
ITA,Italy,Lombardy,20 - 39,20,39,0.0153,0.0005,0.0803,Rinaldi,Table 2; shifted bins down to match Verity & Salje
ITA,Italy,Lombardy,40 - 40,40,49,0.0406,0.0019,0.1731,Rinaldi,Table 2; shifted bins down to match Verity & Salje
ITA,Italy,Lombardy,50 - 59,50,59,0.1044,0.0105,0.2872,Rinaldi,Table 2; shifted bins down to match Verity & Salje
ITA,Italy,Lombardy,60 - 69,60,69,0.9294,0.5531,1.482,Rinaldi,Table 2; shifted bins down to match Verity & Salje
ITA,Italy,Lombardy,70 - 79,70,79,4.537,3.348,6.343,Rinaldi,Table 2; shifted bins down to match Verity & Salje
ITA,Italy,Lombardy,80 +,80,100,8.504,6.387,11.57,Rinaldi,Table 2; shifted bins down to match Verity & Salje
