COUNTRY_NAME,COUNTRY_CODE,cases_20201220,deaths_20201220,tests_20201220,cases_20200923,deaths_20200923,tests_20200923,cases_20200628,deaths_20200628,tests_20200628
Angola,AGO,16644,387,171247,4363,59,67623,267,11,22895
Benin,BEN,3167,44,379760,2294,40,144210,1187,19,20014
Botswana,BWA,12873,38,513852,2567,13,156054,89,1,36868
Burkina Faso,BFA,5160,76,86775,1929,56,43607,959,53,9040
Burundi,BDI,761,2,76962,476,1,34723,170,1,2359
Cameroon,CMR,25849,448,659314,20690,416,453441,12592,313,80000
Cabo Verde,CPV,11579,111,107404,5412,54,78957,1165,12,22665
Central African Republic,CAF,4936,63,34679,4802,62,31723,3429,45,23208
Chad,TCD,1890,102,63812,1164,81,26741,866,74,4633
Comoros,COM,660,7,6227,470,7,3025,293,7,1173
Cote d Ivoire,CIV,21918,133,237469,19430,120,125972,9101,66,48340
Democratic Republic of the Congo,COD,15669,564,90368,10555,271,59093,6939,167,24657
Djibouti,DJI,5783,61,97646,5407,61,75166,4656,53,46108
Equatorial Guinea ,GNQ,5231,85,74952,5018,83,58603,2001,32,16000
Eritrea,ERI,807,0,12269,364,0,12269,191,0,7943
Eswatini,SWZ,7427,140,77889,5343,108,42834,781,11,11094
Ethiopia,ETH,119951,1853,1743663,71083,1141,1226297,5846,103,250604
Gabon,GAB,9420,64,348886,8716,54,157828,5209,40,34774
Gambia,GMB,3788,123,27727,3542,110,16759,45,2,2947
Ghana,GHA,53856,333,636366,46153,299,474120,17351,112,294867
Guinea,GIN,13550,80,290387,10434,65,82365,5291,30,33737
Guinea Bissau,GNB,2447,44,34336,2303,39,1846,1614,21,8056
Kenya,KEN,94614,1644,1011025,37348,664,523998,6190,144,167417
Lesotho,LSO,2546,48,30486,1554,35,18216,27,0,3000
Liberia,LBR,1779,83,51745,1338,82,17874,768,34,6125
Madagascar,MDG,17633,260,98369,16191,227,76137,2138,20,21444
Malawi,MWI,6202,187,82460,5746,179,51456,1152,13,13369
Mali,MLI,6191,222,126647,3034,130,40733,2147,113,12869
Mauritania,MRT,12418,281,132429,7425,161,78815,4149,126,39398
Mauritius,MUS,524,10,301345,367,10,233011,341,10,171792
Mozambique,MOZ,17695,149,258914,7262,49,128805,859,5,28586
Namibia,NAM,19299,180,190462,10663,117,91902,183,0,8706
Niger,NER,2659,87,56723,1193,69,16582,1074,67,6555
Nigeria,NGA,78434,1221,874617,57724,1102,484051,24567,565,130164
Republic of the Congo,COG,6200,100,48174,5005,89,35219,1245,40,11790
Rwanda,RWA,7293,63,690221,4779,27,481283,900,2,137751
Sao Tome and Principe,STP,1012,17,7498,908,15,6193,713,13,17773
Senegal,SEN,17879,371,267733,14816,304,170087,6698,108,76343
Seychelles,SYC,205,0,5200,143,0,5200,77,0,704
Sierra Leone,SLE,2509,75,65275,2183,72,25976,1427,60,9973
Somalia,SOM,4662,124,26509,3465,98,20516,2894,90,11807
South Africa,ZAF,921922,24691,6140839,665188,16206,4083757,138134,2456,1567084
South Sudan,SSD,3234,62,65241,2664,49,19433,2006,37,10630
Tanzania,TZA,509,21,3880,509,21,3880,509,21,3880
Togo,TGO,3416,66,167566,1701,41,85422,642,14,30316
Uganda,UGA,31384,238,713509,7064,70,463618,870,0,186200
Zambia,ZMB,18768,375,531000,14491,332,146329,1531,21,53370
Zimbabwe,ZWE,12325,320,223447,7725,227,63185,567,6,66712
