feature_id,gadm_admin.GID_0,x,y
COM.1_1,COM,44.43615504,-12.22209389
COM.2_1,COM,43.35420891,-11.6625806
COM.3_1,COM,43.73323719,-12.32546415
CPV.1_1,CPV,-22.81411926,16.0984336
CPV.2_1,CPV,-24.70317018,14.85893724
CPV.3_1,CPV,-23.16062181,15.21801137
CPV.4_1,CPV,-24.33866482,15.00252598
CPV.5_1,CPV,-25.01158532,17.11644734
CPV.6_1,CPV,-25.19619037,17.02722424
CPV.7_1,CPV,-23.52291092,14.94978669
CPV.8_1,CPV,-24.20568539,16.60099991
CPV.9_1,CPV,-25.12461864,17.14106113
CPV.10_1,CPV,-23.64052412,14.97535126
CPV.11_1,CPV,-22.93143951,16.73721256
CPV.12_1,CPV,-23.71181607,15.10730754
CPV.13_1,CPV,-24.33677668,14.9276811
CPV.14_1,CPV,-23.55742597,15.11343397
CPV.15_1,CPV,-23.5235431,15.02067315
CPV.16_1,CPV,-24.40305367,14.91063781
CPV.17_1,CPV,-23.60074015,15.06627675
CPV.18_1,CPV,-23.64164299,15.19350382
CPV.19_1,CPV,-23.63666767,15.08984272
CPV.20_1,CPV,-24.92742202,16.82822864
CPV.21_1,CPV,-23.7186049,15.26585781
CPV.22_1,CPV,-24.35996943,16.59342316
ESH.1_1,ESH,-13.46176639,25.17553957
ESH.2_1,ESH,-10.49328102,26.8089655
ESH.3_1,ESH,-12.99954046,26.59591008
ESH.4_1,ESH,-14.49504732,22.86993696
LBY.1_1,LBY,23.97781075,30.03614124
LBY.2_1,LBY,21.80622746,32.1666326
LBY.3_1,LBY,12.95765779,30.32406497
LBY.4_1,LBY,12.98513827,32.47233832
LBY.5_1,LBY,17.11365868,27.83713542
LBY.6_1,LBY,22.19304581,23.79109076
LBY.7_1,LBY,21.29847783,31.9707699
LBY.8_1,LBY,13.99861672,32.34700722
LBY.9_1,LBY,21.37330966,28.81481241
LBY.10_1,LBY,11.92554397,32.66724413
LBY.11_1,LBY,12.56629598,32.47153216
